State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
California,CA SB 547,0,Positive,2,0,-1,,2011,2/17/11,Public School Performance Accountability,Vetoed,9/2/11,2,http://openstates.org/ca/bills/20112012/SB547/,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
California,CA AB 1033,0,Positive,1,0,-1,,2011,2/18/11,Academic Content Standards: Review Commission,Failed,,1,http://openstates.org/ca/bills/20112012/AB1033/,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,CA S 740,0,Positive,1,0,-1,,2011,2/18/11,Pupil Assessment,Failed,6/1/11,2,http://openstates.org/ca/bills/20112012/SB740/,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
California,CA A 1246,0,Positive,1,0,-1,,2011,2/18/11,Instructional Materials,Enacted,9/27/12,3,http://openstates.org/ca/bills/20112012/AB1246/,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR S 383,0,Positive,1,0,-1,,2011,2/21/11,Title 6 and Public Education,Enacted,3/30/11,3,http://openstates.org/ar/bills/2011/SB383/,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NV S 197,0,Positive,5,0.4,-0.2,1,2011,2/24/11,Public Education Oversight,Enacted,6/15/11,3,http://openstates.org/nv/bills/76/SB197/,,,1,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
Arkansas,AR S 711,0,Positive,1,1,1,,2011,3/1/11,Extended School Year,Enacted,3/21/11,3,http://openstates.org/ar/bills/2011/SB711/,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,NV S 211,0,Positive,5,0.4,-0.2,1,2011,3/1/11,Common Core State Standards,Enacted,6/16/11,3,http://openstates.org/nv/bills/76/SB211/,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,GA HR 489,0,Positive,7,0.42857,-0.14286,,2011,3/3/11,Professional Learning Rules Task Force,Failed,4/14/11,2,http://openstates.org/ga/bills/2011_12/HR489/,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Maine,ME H 703,0,Positive,1,1,1,,2011,3/8/11,Public Schools and Curriculum Consistency,Failed,,1,http://openstates.org/me/bills/125/HP703/,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
